coef,mean,std,2.5%,97.5%
intercept,-0.08456198053631869,0.05615714746316054,-0.1953667117012298,0.025561281352885233
beta 1 (angle),-0.03985694392997393,0.05655816474501381,-0.1503453321740546,0.07073597703450764
beta_2 (distance),-0.43160802486851846,0.05674141853081957,-0.5426062141218588,-0.3218175741995063
