coef,mean,std,2.5%,97.5%
intercept,-0.08418717642099138,0.056332584431751494,-0.1919206484166261,0.026202964751639524
beta 1 (angle),-0.04037447783512771,0.05675521494335004,-0.15097626945993314,0.07131611343189956
beta_2 (distance),-0.4311918057338944,0.05696234672582928,-0.5435547388656004,-0.321009254414937
