coef,mean,std,2.5%,97.5%
intercept,-0.006452640225641829,0.33873669312171045,-0.6716070512075579,0.6491978549713137
beta 1 (angle),-0.28151268266743057,0.3332600232945879,-0.9604606282005588,0.3560735878480394
beta_2 (distance),-1.0967128206140375,0.3505487695662971,-1.8187379332577072,-0.4455893180083286
